amazon-order-id,merchant-order-id,purchase-date,last-updated-date,order-status,fulfillment-channel,sales-channel,order-channel,ship-service-level,product-name,sku,asin,number-of-items,item-status,quantity,currency,item-price,item-tax,shipping-price,shipping-tax,gift-wrap-price,gift-wrap-tax,item-promotion-discount,ship-promotion-discount,ship-city,ship-state,ship-postal-code,ship-country,promotion-ids,is-business-order,price-designation,buyer-company-name,license-state,license-expiration-date,is-iba,order-invoice-type
306-9451678-6125115,306-9451678-6125115,2026-03-08T18:46:00+00:00,2026-03-09T14:43:33+00:00,Shipped,Amazon,Amazon.de,,Expedited,"Spigen Ultra Hybrid MagFit Hülle für Samsung Galaxy S25 Ultra, Kompatibel mit MagSafe -Zero One Black",amzn.gr.ACS08957PAN-_XKg4MQgbtqNypAOT-VG,B0DJ9TLYGX,,Shipped,1,EUR,25.49,4.07,,,,,,,Ilsede,,31246,DE,,False,,,,,False,
303-3313631-9414746,303-3313631-9414746,2026-03-28T20:46:13+00:00,2026-03-29T19:47:35+00:00,Shipped,Amazon,Amazon.de,,Expedited,"Spigen Glas.tR EZ Fit Pro Schutzfolie kompatibel mit Samsung Galaxy S26, 2 Stück, inklusive Installationskit, Kratzfest, Kristallklar, 10H+ Härte Fo",AGL11091PAN,B0G7QZ7RMD,,Shipped,1,EUR,23.99,3.45,,,,,2.02,,Reichshof,,51580,DE,PLM-5ba795ed-907c-4364-a5e3-4d3b175c275e,False,,,,,False,
305-2505886-0796312,305-2505886-0796312,2026-03-04T20:13:45+00:00,2026-03-05T17:04:35+00:00,Pending,Amazon,Amazon.de,,Standard,"Spigen Glas.tR EZ Fit Schutzfolie kompatibel mit iPhone 17 Pro, iPhone 17, iPhone 16 Pro, 2 Stück, Kratzfest, inklusive Installationskit, Kristallkla",AGL07928EUPB,B0D84YX465,,Unshipped,1,EUR,18.99,,,,,,,,Bochum,,44793,DE,PLM-ca9f59f7-9a9f-4012-b0e8-d495088a2966,False,,,,,False,
304-6526138-6843558,304-6526138-6843558,2026-03-11T19:21:57+00:00,2026-03-12T23:04:37+00:00,Shipped,Amazon,Amazon.de,,Standard,"Spigen Glas.tR EZ Fit Schutzfolie kompatibel mit Samsung Galaxy S22, 2 Stück, Kratzfest, Kristallklar, 9H Härte Folie",AGL05180PAN,B0B1ZKQ6Z5,,Shipped,1,EUR,18.69,2.98,,,,,,,Blekendorf,,24327,DE,,False,,,,,False,
306-9552418-8875528,306-9552418-8875528,2026-03-29T23:20:07+00:00,2026-03-30T17:53:35+00:00,Shipped,Amazon,Amazon.de,,Expedited,Spigen Ultra Hybrid MagFit für Samsung Galaxy S26 Ultra Hülle [Anti Vergilbung] Case Handyhülle Transparent Kompatibel mit MagSafe -Matte Black,ACS10959PAN,B0FVB57R9R,,Shipped,1,EUR,22.6,2.95,,,,,1.93,,Bettembourg,Luxembourg,0121,LU,ed4d03f6-5cd8-427f-b545-d548350b0ee7,False,,,,,False,
303-5527237-4057947,303-5527237-4057947,2026-03-03T22:34:04+00:00,2026-03-04T16:08:36+00:00,Pending,Amazon,Amazon.de,,Expedited,"Spigen Glas.tR EZ Fit Optik Pro Kameraschutz kompatibel mit iPhone Air, 2 Stück, Schwarz, Individuelle Kameraprotektion, 9H Härte Folie",AGL09863PAN,B0FBCRC5VX,,Unshipped,1,EUR,15.94,,,,,,,,Bucuresti,Bucuresti,031083,RO,"PLM-9aa63c97-3a2d-44fd-96d0-bf6fef983156,DE_골라담기 상시진행 5%_iPhone Air_251002",True,Business Price,MAHAL TRADE SRL,,,False,
306-6226606-3952303,306-6226606-3952303,2026-03-20T12:55:43+00:00,2026-03-21T14:56:34+00:00,Shipped,Amazon,Amazon.de,,Expedited,"Spigen Glas.tR AlignMaster S Schutzfolie kompatibel mit iPhone 17 Pro, 2 Stück, Präzise Berührung, Kratzfest, 9H Härte Folie",AGL11323PAN,B0G3P27ZW2,,Shipped,1,EUR,19.99,3.19,,,,,,,Schönau A. Königssee,,83471,DE,,False,,,,,False,
303-0501982-9897151,303-0501982-9897151,2026-03-22T09:08:25+00:00,2026-03-23T22:05:56+00:00,Shipped,Amazon,Amazon.de,,Standard,"Spigen iPhone 17e / iPhone 16e Hülle Signature Ultra Hybrid MagFit [Anti Vergilbung] Case Handyhülle Transparent, Kompatibel mit MagSafe Zubehör -C",ACS09139PAN,B0DKGB3K85,,Shipped,1,EUR,16.8,3.36,0.95,,,,,0.95,Copenhagen Ø,,2100,DK,,False,,,,,False,
302-5200373-8421118,302-5200373-8421118,2026-03-12T11:12:01+00:00,2026-03-13T11:01:41+00:00,Shipped,Amazon,Amazon.de,,Standard,Spigen Urban Fit Hülle Case Kompatibel mit MacBook Air 13 Zoll M5 (2026) / M4 / M3 / M2 A2681 (2025/24/22) Kratzfeste Hartschalen aus Premium-Stoff -,ACS05272PAN,B0B5YH8FZW,,Shipped,1,EUR,44.8,8.67,3.48,,,,,3.48,Athens (Greece),Attica,15121,GR,,False,,,,,False,
302-3228511-2903539,302-3228511-2903539,2026-03-16T05:31:42+00:00,2026-03-16T15:46:53+00:00,Shipped,Amazon,Amazon.de,,Expedited,"Spigen Glas.tR EZ Fit Schutzfolie kompatibel mit Samsung Galaxy S25, Galaxy S24, 2 Stück, Kratzfest, Kristallklar, 9H Härte Folie",AGL07438EUPA,B0CN8PRJW4,,Shipped,1,EUR,19.19,3.06,,,,,,,Espelkamp,,32339,DE,,False,,,,,False,
305-8710562-2023545,305-8710562-2023545,2026-03-24T13:22:37+00:00,2026-03-25T16:41:42+00:00,Shipped,Amazon,Amazon.de,,Expedited,Spigen Lite Fit Ersatzarmband Kompatibel mit Google Pixel Watch 4/3/2/1 41mm (2025/2024/2023/2022) - Schwarz,AMP06348PAN,B0C91HRWZN,,Shipped,1,EUR,16.99,2.71,,,,,,,Freiburg Im Breisgau,,79106,DE,,False,,,,,False,
305-9000879-6220304,305-9000879-6220304,2026-03-20T16:08:42+00:00,2026-03-20T19:24:57+00:00,Pending,Amazon,Amazon.de,,Expedited,"Spigen Glas.tR EZ Fit Schutzfolie kompatibel mit iPhone 12 Mini, 2 Stück, Kratzfest, 9H Härte Folie",AGL01811EUP,B08DQBT5P2,,Unshipped,1,EUR,18.14,,,,,,,,wien,wien,1120,AT,e921def6-1f7c-49bd-bd55-5f501eff70da,False,,,,,False,
302-1555842-1422758,302-1555842-1422758,2026-03-08T14:06:18+00:00,2026-03-09T03:50:01+00:00,Shipped,Amazon,Amazon.de,,Expedited,Spigen Ultra Hybrid MagFit für Google Pixel 10a Hülle [Anti Vergilbung] Case Handyhülle Transparent Kompatibel mit MagSafe -Frost Black,ACS11278PAN,B0FZPR73CB,,Shipped,1,EUR,19.54,3.12,,,,,,,Hamburg,,22335,DE,,False,,,,,False,
303-5131296-2173968,303-5131296-2173968,2026-03-05T18:48:20+00:00,2026-03-06T00:47:40+00:00,Shipped,Amazon,Amazon.de,,Expedited,"Spigen Glas.tR EZ Fit Pro Schutzfolie kompatibel mit Samsung Galaxy Z Fold7, 2 Stück, für externe Display, Kratzfest, Hüllenfreundlich, Touch reakt",AGL09576PAN,B0F8RDXNY5,,Shipped,1,EUR,26.99,4.31,,,,,,,Aichtal,,72631,DE,,False,,,,,False,
304-8669348-2725100,304-8669348-2725100,2026-03-08T10:10:13+00:00,2026-03-08T22:51:37+00:00,Shipped,Amazon,Amazon.de,,Standard,Spigen Ultra Hybrid MagFit für Google Pixel 10a Hülle [Anti Vergilbung] Case Handyhülle Transparent Kompatibel mit MagSafe -Frost Black,ACS11278PAN,B0FZPR73CB,,Shipped,1,EUR,20.36,3.94,4.67,0.9,,,,,Tartu,,50604,EE,,False,,,,,False,
028-2346701-1412309,028-2346701-1412309,2026-03-13T18:56:03+00:00,2026-03-14T01:42:59+00:00,Pending,Amazon,Amazon.de,,Expedited,"Spigen Glas.tR EZ Fit Schutzfolie kompatibel mit iPhone 17 Pro Max, iPhone 16 Pro Max, 2 Stück, Kratzfest, inklusive Installationskit, Kristallklar,",AGL07907EUPB,B0D84R9HYW,,Unshipped,1,EUR,14.71,2.35,,,,,,,Aschheim,Bayern,85609,DE,,False,,,,,False,
305-3316566-3017950,305-3316566-3017950,2026-03-12T19:19:25+00:00,2026-03-12T19:19:34+00:00,Pending,Amazon,Amazon.de,,Expedited,Spigen Ultra Hybrid MagFit für Samsung Galaxy S26 Hülle [Anti Vergilbung] Case Handyhülle Transparent Kompatibel mit MagSafe -Light Blue,ACS11166PAN,B0FWGVKRW9,,Unshipped,1,EUR,19.19,,,,,,,,Tönisvorst,,47918,DE,DE_골라담기 10%_GalaxyS26_hyomi_260225_2,False,,,,,False,
305-0177598-1142745,305-0177598-1142745,2026-03-02T21:04:12+00:00,2026-03-03T16:42:12+00:00,Shipped,Amazon,Amazon.de,,Standard,Spigen Slim Armor CS Hülle Kompatibel mit Samsung Galaxy S23 Ultra 5G -Black,ACS05628PAN,B0BJRZFVMV,,Shipped,1,EUR,20.99,3.35,0.67,,,,,0.67,Frankfurt Am Main,,60598,DE,,False,,,,,False,
305-1396441-9444346,305-1396441-9444346,2026-03-10T12:23:47+00:00,2026-03-10T17:32:03+00:00,Shipped,Amazon,Amazon.de,,Expedited,"Spigen Glas.tR EZ Fit Schutzfolie kompatibel mit Samsung Galaxy S22, 2 Stück, Kratzfest, Kristallklar, 9H Härte Folie",AGL05180PAN,B0B1ZKQ6Z5,,Shipped,1,EUR,18.69,2.98,,,,,,,Greußen,,99718,DE,,False,,,,,False,
303-2207106-7552321,303-2207106-7552321,2026-03-24T17:41:13+00:00,2026-03-24T22:23:58+00:00,Shipped,Amazon,Amazon.de,,Expedited,Spigen Ultra Hybrid Kompatibel mit iPhone 13 Pro Max Hülle [Air Cushion Technologie] Handyhülle dünn transparent hardcase silikon -Sierra Blue,ACS04131PAN,B09LB9ZCBZ,,Shipped,1,EUR,16.99,2.71,,,,,,,Marburg,,35039,DE,,False,,,,,False,
028-8886721-3698707,028-8886721-3698707,2026-03-31T19:26:50+00:00,2026-03-31T19:26:56+00:00,Pending,Amazon,Amazon.de,,Standard,"Spigen wasserdichte Handyhülle [Aqua Shield] [2 Stick] IPX8 wasserfeste Handytasche Hülle kompatibel mit iPhone 16/15/14/13 Serien, Galaxy S25/S24/S",AMP03098PAN,B094JBDRKX,,Unshipped,1,EUR,14.99,,,,,,,,Lohmar,Nordrhein-Westfalen,53797,DE,,False,,,,,False,
303-8083692-2780319,303-8083692-2780319,2026-03-06T16:42:50+00:00,2026-03-06T16:42:58+00:00,Pending,Amazon,Amazon.de,,Standard,Spigen Lock Fit Hülle Kompatibel mit Samsung Galaxy Buds 4 Pro/Buds 4 (2026) - Matt Schwarz,ACS11202PAN,B0G7N15XXS,,Unshipped,1,EUR,26.99,,,,,,,,Elmshorn,,25336,DE,,False,,,,,False,
302-0530222-4581910,302-0530222-4581910,2026-03-15T19:27:22+00:00,2026-03-16T21:20:11+00:00,Shipped,Amazon,Amazon.de,,Expedited,"Spigen NanoPop MagFit Hülle für Google Pixel 10 und Pixel 10 Pro, Kompatibel Mit Pixelsnap und MagSafe [2025 Neue Funktion] [Made for Google] -Papay",ACS09712PAN,B0F49DRBCD,,Shipped,1,EUR,21.24,3.39,,,,,,,Dresden,Sachsen,01109,DE,,False,,,,,False,
305-1237697-4931528,305-1237697-4931528,2026-03-11T12:57:48+00:00,2026-03-11T23:27:49+00:00,Shipped,Amazon,Amazon.de,,Expedited,"Spigen Ultra Hybrid S MagFit für Samsung Galaxy S26 Plus Hülle [3 Standmodi Ständer] Case Handyhülle Stoßfest Kratzfest, Kompatibel mit MagSafe -",ACS11050PAN,B0FVB661VQ,,Shipped,1,EUR,21.89,3.5,4.19,,,,,4.19,Esslingen am Neckar,Baden-Württemberg,73730,DE,,False,,,,,False,
306-1225605-4697156,306-1225605-4697156,2026-03-14T07:07:46+00:00,2026-03-15T17:29:47+00:00,Shipped,Amazon,Amazon.de,,Expedited,"Spigen Parallax MagFit Hülle für Samsung Galaxy S25, Kompatibel mit MagSafe -Sage Green",ACS09063PAN,B0DL7BYJXV,,Shipped,1,EUR,21.42,3.57,,,,,,,Leibnitz,,8430,AT,,False,,,,,False,
303-6170338-7217908,303-6170338-7217908,2026-03-01T13:22:49+00:00,2026-03-02T02:07:08+00:00,Shipped,Amazon,Amazon.de,,Expedited,"Spigen DA20 Apple Pencil Stifthalter für Pro und 2. Generation Kompatibel mit iPad Pro 11""/ 13"", iPad Air 11"" /13"" und Anderen iPad-Serien - Schwarz",APP04545PAN,B09V1V34TV,,Shipped,1,EUR,29.99,4.79,,,,,,,Hamburg,,22609,DE,,False,,,,,False,
304-5078766-0829926,304-5078766-0829926,2026-03-21T15:48:11+00:00,2026-03-22T12:06:19+00:00,Shipped,Amazon,Amazon.de,,Expedited,"Spigen iPhone 17e / iPhone 16e Hülle [rutschfest] Liquid Air MagFit Case Slim TPU mit Truss-Design, Kompatibel mit MagSafe Zubehör -Matte Black",ACS09151PAN,B0DKGBS22K,,Shipped,1,EUR,14.99,2.39,,,,,,,Brackenheim,,74336,DE,,False,,,,,False,
305-4279153-4911560,305-4279153-4911560,2026-03-06T14:40:46+00:00,2026-03-06T18:43:39+00:00,Shipped,Amazon,Amazon.de,,Expedited,Spigen iPhone 17 Hülle [Spigen Premium Qualität] Tough Armor MagFit Case Handyhülle mit Kickstand Kompatibel mit MagSafe -Schwarz,ACS09984PAN,B0FD2G2GS7,,Shipped,1,EUR,34.99,5.59,,,,,,,Teublitz,,93158,DE,,False,,,,,False,
303-3220623-5285948,303-3220623-5285948,2026-03-30T06:36:27+00:00,2026-03-31T02:48:03+00:00,Pending,Amazon,Amazon.de,,Standard,Spigen Rugged Armor Hülle Kompatibel mit Xiaomi 17 -Matte Black,ACS10458PAN,B0FKJVZ9MK,,Unshipped,1,EUR,15.35,,,,,,,,Krmelj,Sevnica,8296,SI,3f717c38-02f5-4be5-b217-80b5c267b28f,True,Business Price,Amazon Business EU SARL,,,True,
306-4648098-3650704,306-4648098-3650704,2026-03-15T12:47:34+00:00,2026-03-15T12:48:13+00:00,Pending,Amazon,Amazon.de,,Expedited,"Spigen Tough Armor (AI) MagFit Hülle für iPhone 16 Pro, Kompatibel mit MagSafe Zubehör -Schwarz",ACS08146PAN,B0D21LGLX7,,Unshipped,1,EUR,26.56,,,,,,,,Wien,,1230,AT,,False,,,,,False,
304-0230838-0613145,304-0230838-0613145,2026-03-15T23:52:48+00:00,2026-03-16T10:01:57+00:00,Shipped,Amazon,Amazon.de,,Expedited,"Spigen Glas.tR EZ Fit Optik Kameraschutz kompatibel mit Google Pixel 9 Pro, 2 Stück, Kristallklar, Anti-Kratzer, 9H Härte Schutzfolie",AGL08444PAN,B0D85SML7F,,Cancelled,0,,,,,,,,,,Kanzem,,54441,DE,,False,,,,,False,
302-7439882-7289951,302-7439882-7289951,2026-03-17T12:48:15+00:00,2026-03-18T10:36:20+00:00,Shipped,Amazon,Amazon.de,,Expedited,"Spigen Optik Armor MagFit für Samsung Galaxy S26 Ultra Hülle [Kamera-Schutz] Case, Militärgeprüfter Schutz Handyhülle -Schwarz",ACS11040PAN,B0FVBPV3QF,,Shipped,1,EUR,18.46,,,,,,,,Grafing B. München,,85567,DE,,True,Business Price,Amazon Business EU SARL,,,True,
304-9210902-6120337,304-9210902-6120337,2026-03-15T08:37:05+00:00,2026-03-16T00:53:51+00:00,Shipped,Amazon,Amazon.de,,Expedited,"Spigen Glas.tR EZ Fit Schutzfolie kompatibel mit iPhone 17 Pro Max, iPhone 16 Pro Max, 2 Stück, Kratzfest, inklusive Installationskit, Kristallklar,",AGL07907EUPB,B0D84R9HYW,,Shipped,1,EUR,14.71,2.35,,,,,,,Wehrheim,,61273,DE,,False,,,,,False,
305-8076828-2633118,305-8076828-2633118,2026-03-10T12:38:36+00:00,2026-03-11T18:21:18+00:00,Shipped,Amazon,Amazon.de,,Standard,"Spigen Liquid Air MagFit Hülle für Google Pixel 10 und Pixel 10 Pro, Kompatibel Mit Pixelsnap und MagSafe [2025 Neue Funktion] [Made for Google] -Sc",ACS09695PAN,B0F49G24KV,,Shipped,1,EUR,16.99,2.71,0.66,,,,,0.66,Dresden,,01187,DE,,False,,,,,False,
303-4941310-1265128,303-4941310-1265128,2026-03-04T10:00:15+00:00,2026-03-05T00:46:56+00:00,Shipped,Amazon,Amazon.de,,Expedited,"Spigen Glas.tR EZ Fit Pro Schutzfolie kompatibel mit Samsung Galaxy Z Fold7, 2 Stück, für externe Display, Kratzfest, Hüllenfreundlich, Touch reakt",AGL09576PAN,B0F8RDXNY5,,Shipped,1,EUR,26.99,4.31,,,,,,,Aichtal,,72631,DE,,False,,,,,False,
028-3880044-8283527,028-3880044-8283527,2026-03-27T13:47:08+00:00,2026-03-28T03:26:15+00:00,Shipped,Amazon,Amazon.de,,Expedited,"Spigen AlignMaster Schutzfolie kompatibel mit Google Pixel 8, 2 Stück, Kratzfest, 9H Härte Folie",AGL07396EUP,B0CMRDVTGP,,Shipped,1,EUR,20.0,3.19,,,,,,,Vreden,,48691,DE,,False,,,,,False,
028-0236776-8743533,028-0236776-8743533,2026-03-17T13:19:05+00:00,2026-03-17T13:35:17+00:00,Pending,Amazon,Amazon.de,,Standard,Spigen Ultra Hybrid Hülle für Google Pixel 9 Pro und Pixel 9 [Made for Google] -Crystal Clear,ACS07687PAN,B0CVRL6KNT,,Unshipped,1,EUR,16.99,,,,,,,,Stuttgart,,70190,DE,,False,,,,,False,
305-2876790-5328362,305-2876790-5328362,2026-03-16T01:23:58+00:00,2026-03-16T04:30:03+00:00,Shipped,Amazon,Amazon.de,,Expedited,"Spigen Glas.tR EZ Fit Schutzfolie kompatibel mit Samsung Galaxy Watch Ultra, 47mm, 2 Stück, Kratzfest, 9H Härte Folie",AGL08349PAN,B0D3SNHXQH,,Shipped,1,EUR,11.93,1.9,,,,,,,Hennef (sieg),,53773,DE,,False,,,,,False,
304-7193086-4946721,304-7193086-4946721,2026-03-24T17:46:26+00:00,2026-03-25T15:48:37+00:00,Shipped,Amazon,Amazon.de,,Expedited,"Spigen Schutzhülle für iPhone 17 Pro Max, Ultra-Hybrid, TPU-überzogene Kamerasteuerung, Vergilbungsschutz, kein Magnetring, kristallklar",ACS10033PAN,B0FD25XK76,,Shipped,1,EUR,12.99,2.07,,,,,,,Erfurt,Thüringen,99092,DE,,False,,,,,False,
302-5430435-3153901,302-5430435-3153901,2026-03-17T14:21:52+00:00,2026-03-17T14:24:43+00:00,Cancelled,Amazon,Amazon.de,,Standard,"Spigen Thin Fit Kompatibel mit MacBook Air A2337 M1, A2179, A1932 Retina 13 Zoll Hülle (2020/2019/2018) - Schwarz",071CS25963PAN,B07V5KKM21,,Cancelled,0,,,,,,,,,,Zürich,Switzerland,8050,CH,,False,,,,,False,
304-2472022-5425936,304-2472022-5425936,2026-03-20T16:55:19+00:00,2026-03-21T02:24:06+00:00,Shipped,Amazon,Amazon.de,,Expedited,Spigen Air Skin Hülle Kompatibel mit Samsung Galaxy Z Flip 6 und Z Flip 7 FE -Crystal Clear,ACS07836PAN,B0CXTYW1GL,,Shipped,1,EUR,24.99,3.99,,,,,,,Kernen Im Remstal,,71394,DE,,False,,,,,False,
305-3648814-3042753,305-3648814-3042753,2026-03-01T22:10:52+00:00,2026-03-02T16:53:54+00:00,Shipped,Amazon,Amazon.de,,Standard,Spigen Rugged Armor Hülle Kompatibel mit Galaxy S20 FE - Schwarz,ACS01847PAN,B08C943M8G,,Shipped,1,EUR,13.99,2.23,0.84,,,,,0.84,München,,81673,DE,,False,,,,,False,
028-8119407-8623554,028-8119407-8623554,2026-03-02T22:49:18+00:00,2026-03-03T12:52:47+00:00,Pending,Amazon,Amazon.de,,Standard,Spigen Classic Fit Hülle Kompatibel mit Samsung Galaxy Buds 4 Pro/Buds 4 (2026) - Matt Schwarz,ACS11203PAN,B0G7MY5GYV,,Unshipped,1,EUR,20.99,,,,,,,,Kabelsketal,,06184,DE,"DE_골라담기 10%_GalaxyS26_hyomi_260225_2,DE_골라담기 10%_GalaxyS26 Plus_hyomi_260225_2,DE_골라담기 10%_GalaxyS26 Ultra_hyomi_260225_2",False,,,,,False,
306-0966040-2706721,306-0966040-2706721,2026-03-22T18:39:22+00:00,2026-03-23T15:48:43+00:00,Shipped,Amazon,Amazon.de,,Expedited,"Spigen Tough Armor MagFit für Samsung Galaxy S26 Hülle [XRD-Pad Stoßdämpfung] [Militärgeprüfter Schutz] Case Handyhülle, Kompatibel mit MagSafe",ACS11062PAN,B0FVB9TM8Q,,Shipped,1,EUR,29.99,4.31,,,,,2.52,,Lehnstedt,,99441,DE,DE_골라담기 10%_GalaxyS26_hyomi_260225_2,False,,,,,False,
306-7995004-2773103,306-7995004-2773103,2026-03-31T08:50:44+00:00,2026-04-01T13:39:45+00:00,Pending,Amazon,Amazon.de,,Standard,"Spigen iPhone 17e / iPhone 16e Hülle [rutschfest] Liquid Air MagFit Case Slim TPU mit Truss-Design, Kompatibel mit MagSafe Zubehör -Matte Black",ACS09151PAN,B0DKGBS22K,,Unshipped,1,EUR,14.99,,,,,,,,St. Georgen im Schwarzwald,,78112,DE,,True,,ALPRO MEDICAL GMBH,,,False,
028-4446173-2500367,028-4446173-2500367,2026-03-23T21:07:59+00:00,2026-03-24T03:05:32+00:00,Shipped,Amazon,Amazon.de,,Expedited,Spigen Ultra Hybrid MagFit für Samsung Galaxy S26 Ultra Hülle [Anti Vergilbung] Case Handyhülle Transparent Kompatibel mit MagSafe -Frost Black,ACS10960PAN,B0FVBKG9ZP,,Shipped,1,EUR,24.99,3.59,1.0,0.16,,,2.1,,Marburg,,35037,DE,"3f717c38-02f5-4be5-b217-80b5c267b28f,DE_골라담기 10%_GalaxyS26 Ultra_hyomi_260305",False,,,,,False,
